Zip Code,Median Household income 
7606,68627
7607,96667
7608,51563
7620,116250
7621,96662
7624,136146
7626,133583
7627,172381
7628,110517
7630,124688
7631,90775
7632,144205
7640,154471
7641,172989
7642,134728
7643,74375
7644,59648
7645,118163
7646,104795
7647,105385
7648,138508
7649,163295
7650,72554
7652,120960
7656,129982
7657,79871
7660,74881
7661,143309
7662,90446
7663,101703
7666,117574
7670,170697
7675,135273
7676,133135
7677,181979
7701,103411
7702,136500
7703,-
7704,180509
7711,152262
7712,77030
7716,111250
7717,111071
7718,105905
7719,106023
7720,76696
7721,73954
7722,180490
7723,104250
7724,94032
7726,125098
7727,97000
7728,107835
7730,102596
7731,110204
7732,82472
7733,165149
7734,76086
7735,78929
7737,98964
7738,149554
7739,143964
7740,60446
7746,150722
7747,111884
7748,132363
7750,140431
7751,156064
7753,73969
7755,99375
7756,93839
7757,127750
7758,103819
7760,148750
7762,107527
7764,114727
7801,69935
7803,103561
7820,-
7821,125075
7822,80156
7823,73589
7825,101250
7826,97685
7827,81400
7828,94637
7830,153225
7832,93722
7833,68125
7834,127042
7836,131528
7838,110250
7840,95651
7842,-
7843,90182
7846,202875
7847,114489
7848,100776
7849,109798
7850,109833
7851,69375
7852,126542
7853,156756
7856,97438
7857,85833
7860,94749
7863,95475
7865,108958
7866,109152
7869,147869
7870,-
7871,141937
7874,103341
7876,126394
7878,125385
7880,-
7881,-
7882,97908
7885,80842
7901,175962
7920,173830
7921,140476
7922,168333
7924,158814
7926,-
7927,105909
7928,203571
7930,147607
7931,240761
7932,156182
7933,152566
7934,193333
7935,179886
7936,129705
7939,-
7940,151848
7945,184554
7946,150063
7950,137876
7960,135940
7961,-
7970,"250,000+"
7974,170840
7976,113068
7977,48421
7979,175170
7980,127692
7981,146080
8001,110313
8002,95950
8003,136464
8004,88624
8005,72591
8006,81875
8007,84348
8008,102153
8009,90500
8010,72421
8011,-
8012,79745
8014,99353
8015,73544
8016,91045
8019,97083
8020,92692
8021,60846
8022,120814
8023,73482
8026,91429
8027,76902
8028,89922
8029,75500
8030,66839
8031,56439
8033,145699
8034,110014
8035,112399
8036,116563
8037,79543
8038,79167
8039,68684
8041,109167
8042,150875
8043,108157
8045,76490
8046,74813
8048,114145
8049,71528
8050,85967
8051,98281
8052,77198
8053,110687
8054,107696
8055,128192
8056,157750
8057,157717
8059,80139
8060,95142
8061,140606
8062,135876
8063,72639
8064,-
8065,78864
8066,57667
8067,91597
8068,68942
8069,53651
8070,78367
8071,89837
8072,73750
8073,190188
8074,-
8075,88047
8077,109310
8078,69826
8079,63958
8080,106364
8081,93745
8083,85720
8084,84167
8085,121144
8086,91734
8087,74315
8088,92539
8089,82361
8090,90475
8091,66496
8092,105341
8093,69097
8094,85325
8095,-
8096,79400
8097,95811
8098,102254
8102,22764
8103,30873
8104,28374
8105,34753
8106,93872
